Data;Retornos
02/02/2016;-0,015905
03/02/2016;0,059675
04/02/2016;-0,010784
05/02/2016;-0,025632
06/02/2016;0,003339
07/02/2016;-0,014149
08/02/2016;0,007193
09/02/2016;0,017327
10/02/2016;-0,006384
11/02/2016;0,012024
12/02/2016;0,015656
13/02/2016;0,038718
14/02/2016;-0,010985
15/02/2016;0,013251
16/02/2016;0,026035
17/02/2016;0,010161
18/02/2016;-0,003375
19/02/2016;0,046704
20/02/2016;-0,004989
21/02/2016;-0,000183
22/02/2016;-0,041723
23/02/2016;0,006693
24/02/2016;0,001796
25/02/2016;0,009027
26/02/2016;0,009271
27/02/2016;0,002709
28/02/2016;0,008611
29/02/2016;-0,004987
01/03/2016;-0,020201
02/03/2016;-0,013729
03/03/2016;-0,024318
04/03/2016;-0,025927
05/03/2016;0,017293
06/03/2016;0,021711
07/03/2016;-0,007185
08/03/2016;0,002086
09/03/2016;0,00741
10/03/2016;0,007857
11/03/2016;-0,021099
12/03/2016;0,004983
13/03/2016;0,004596
14/03/2016;0,001977
15/03/2016;0,001877
16/03/2016;0,005395
17/03/2016;-0,024205
18/03/2016;0,001298
19/03/2016;0,006925
20/03/2016;-0,001021
21/03/2016;0,012329
22/03/2016;0,001848
23/03/2016;-0,005386
24/03/2016;0,002336
25/03/2016;0,001923
26/03/2016;0,019166
27/03/2016;-0,005574
27/03/2016;-0,017224
28/03/2016;-0,006188
29/03/2016;0,007777
30/03/2016;-0,000048
31/03/2016;0,006881
01/04/2016;0,001313
02/04/2016;0,000644
03/04/2016;0,006513
04/04/2016;-0,001921
05/04/2016;-0,002662
06/04/2016;-0,005848
07/04/2016;0,000861
08/04/2016;0,005249
09/04/2016;0,002804
10/04/2016;0,007824
11/04/2016;-0,002995
12/04/2016;0,001298
13/04/2016;0,010907
14/04/2016;0,003214
15/04/2016;-0,008852
16/04/2016;0,003349
17/04/2016;0,016763
18/04/2016;0,014245
19/04/2016;0,018372
20/04/2016;-0,009077
21/04/2016;0,010722
22/04/2016;0,016483
23/04/2016;0,009072
24/04/2016;0,009205
25/04/2016;-0,041605
26/04/2016;0,003283
27/04/2016;0,014389
28/04/2016;-0,014278
29/04/2016;0,008237
30/04/2016;-0,017983
01/05/2016;0,013618
02/05/2016;-0,009977
03/05/2016;0,005101
04/05/2016;0,025298
05/05/2016;-0,002396
06/05/2016;-0,001288
07/05/2016;0,005597
08/05/2016;-0,024358
09/05/2016;0,006963
10/05/2016;0,004256
11/05/2016;0,002154
12/05/2016;0,002259
13/05/2016;0,003652
14/05/2016;-0,007098
15/05/2016;-0,003568
16/05/2016;0,002138
17/05/2016;-0,02578
18/05/2016;-0,001243
19/05/2016;0,003455
20/05/2016;-0,009103
21/05/2016;0,009215
22/05/2016;0,005439
23/05/2016;0,008193
24/05/2016;0,007796
25/05/2016;0,044759
26/05/2016;0,100599
27/05/2016;-0,015708
28/05/2016;0,030928
29/05/2016;-0,006295
30/05/2016;0,015906
31/05/2016;-0,000558
01/06/2016;0,054228
02/06/2016;0,008639
03/06/2016;0,005162
04/06/2016;0,014968
05/06/2016;-0,013803
06/06/2016;0,008529
07/06/2016;-0,010076
08/06/2016;0,005553
09/06/2016;0,023447
10/06/2016;0,119284
11/06/2016;0,049065
12/06/2016;-0,021557
13/06/2016;0,008184
14/06/2016;0,097102
15/06/2016;-0,023003
16/06/2016;0,013181
17/06/2016;0,009599
18/06/2016;-0,036218
19/06/2016;-0,095109
20/06/2016;-0,122288
21/06/2016;0,050002
22/06/2016;0,056443
23/06/2016;0,010042
24/06/2016;-0,059152
25/06/2016;0,030316
26/06/2016;0,000357
27/06/2016;-0,013033
28/06/2016;0,05126
29/06/2016;0,006768
30/06/2016;0,03423
01/07/2016;-0,053583
02/07/2016;0,020228
03/07/2016;-0,017165
04/07/2016;0,013514
05/07/2016;-0,057281
06/07/2016;0,042425
07/07/2016;-0,016659
08/07/2016;-0,007268
09/07/2016;-0,000618
10/07/2016;0,036215
11/07/2016;-0,014132
12/07/2016;-0,005916
13/07/2016;0,010519
14/07/2016;-0,005299
15/07/2016;0,023396
16/07/2016;-0,008836
17/07/2016;0,001073
18/07/2016;-0,010034
19/07/2016;0,000331
20/07/2016;-0,020537
21/07/2016;0,006201
22/07/2016;0,006284
23/07/2016;-0,008056
24/07/2016;0,000581
25/07/2016;0,000244
26/07/2016;-0,000627
27/07/2016;0,001985
28/07/2016;-0,001053
29/07/2016;-0,051507
30/07/2016;-0,024202
31/07/2016;-0,167415
01/08/2016;0,098257
02/08/2016;0,017118
03/08/2016;-0,002711
04/08/2016;0,020309
05/08/2016;0,007475
06/08/2016;-0,002729
07/08/2016;-0,006794
08/08/2016;0,009675
09/08/2016;-0,00526
10/08/2016;-0,001192
11/08/2016;-0,004353
12/08/2016;-0,026925
13/08/2016;-0,003715
14/08/2016;0,023085
15/08/2016;-0,013622
16/08/2016;0,001833
17/08/2016;0,002038
18/08/2016;0,013913
19/08/2016;-0,003353
20/08/2016;0,01166
21/08/2016;-0,006678
22/08/2016;-0,006706
23/08/2016;-0,002937
24/08/2016;0,002437
25/08/2016;-0,015691
26/08/2016;0,008085
27/08/2016;-0,001305
28/08/2016;0,005367
29/08/2016;-0,005976
30/08/2016;-0,003299
31/08/2016;0,005753
01/09/2016;0,04012
02/09/2016;0,017726
03/09/2016;-0,006237
04/09/2016;0,007696
05/09/2016;0,004527
06/09/2016;0,019956
07/09/2016;-0,00386
08/09/2016;0,00218
09/09/2016;-0,030747
10/09/2016;0,003906
11/09/2016;0,001036
12/09/2016;0,001527
13/09/2016;-0,002349
14/09/2016;-0,000543
15/09/2016;-0,001152
16/09/2016;0,005945
17/09/2016;-0,001393
18/09/2016;-0,001001
19/09/2016;-0,020027
20/09/2016;-0,002565
21/09/2016;0,012165
22/09/2016;-0,000547
23/09/2016;-0,001827
24/09/2016;0,008361
25/09/2016;-0,001766
26/09/2016;-0,001322
27/09/2016;0,00005
28/09/2016;0,005673
29/09/2016;0,008628
30/09/2016;-0,004444
01/10/2016;0,001489
02/10/2016;-0,004326
03/10/2016;0,004686
04/10/2016;-0,00139
05/10/2016;0,008248
06/10/2016;0,002626
07/10/2016;-0,003048
08/10/2016;0,002465
09/10/2016;0,036832
10/10/2016;-0,006988
11/10/2016;-0,000613
12/10/2016;0,003643
13/10/2016;-0,001396
14/10/2016;0,004839
15/10/2016;-0,004305
16/10/2016;-0,00319
17/10/2016;-0,009934
18/10/2016;-0,001145
19/10/2016;0,003352
20/10/2016;0,038934
21/10/2016;-0,003745
22/10/2016;-0,003897
23/10/2016;0,000784
24/10/2016;0,035714
25/10/2016;0,011246
26/10/2016;0,005758
27/10/2016;0,040985
28/10/2016;-0,02504
29/10/2016;0,002006
31/10/2016;0,039418
01/11/2016;0,009245
02/11/2016;-0,068612
03/11/2016;0,024818
04/11/2016;0,000043
05/11/2016;0,011048
06/11/2016;-0,006373
07/11/2016;0,007767
08/11/2016;0,01469
09/11/2016;-0,00954
10/11/2016;0,00056
11/11/2016;-0,015079
12/11/2016;-0,003271
13/11/2016;0,003683
